																																				
Z=  	0.0000																																			
B  10	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.4412E-18	2.9222E-21	8.3016E-20	3.9242E-21	1.5684E-19	2.865E-18	5.1808E-20	2.3653E-17	1.704E-17	1.4612E-17	1.1761E-14	1.2601E-14	6.64E-22	2.027E-14	3.622E-16	0E+00
B  11	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	2.7952E-15	2.9406E-16	3.2969E-16	7.1387E-16	6.5449E-17	9.4557E-16	3.2678E-15	3.0727E-14	7.4666E-10	1.0208E-09	6.3522E-14	6.8059E-14	8.212E-09	1.441E-12	7.461E-09	1.008E-08
C  12	6.4239E-05	2.8945E-04	4.9221E-04	5.3163E-04	4.0769E-04	2.5492E-04	1.204E-04	2.5649E-04	4.3631E-04	9.2715E-04	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	5.5262E-02	7.4066E-02	1.7161E-01	2.1849E-01	2.1055E-01	2.9357E-01	3.3746E-01	4.287E-01	1.0791E+00	1.3179E+00	5.9033E+00	6.325E+00	2.297E+00	4.241E+00	1.886E+00	1.0592E+00
C  13	1.2793E-05	5.6825E-05	9.7036E-05	1.0562E-04	8.2579E-05	5.3573E-05	2.791E-05	6.0038E-05	1.0255E-04	2.1871E-04	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	2.8662E-07	8.3905E-08	6.2053E-08	2.6273E-09	1.1376E-08	1.4655E-08	1.0202E-08	3.2148E-09	6.7138E-08	9.0611E-08	3.0411E-07	3.2583E-07	3.849E-07	3.491E-07	4.724E-04	6.3813E-04
N  14	1.4931E-04	6.1522E-04	1.3204E-03	1.9792E-03	2.5916E-03	2.9367E-03	3.1575E-03	6.394E-03	1.0638E-02	2.2146E-02	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.8322E-03	1.8322E-03	1.858E-03	1.8913E-04	5.4226E-05	5.9124E-04	1.6378E-06	5.8923E-07	8.8761E-05	1.2114E-04	1.3294E-02	1.4244E-02	1.039E-02	5.839E-04	1.263E-02	1.6859E-02
N  15	3.9376E-08	1.7956E-07	3.1128E-07	3.4815E-07	2.9019E-07	2.0989E-07	1.3738E-07	3.4626E-07	6.2756E-07	1.4074E-06	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	2.858E-04	6.3845E-08	6.8632E-08	2.3976E-08	1.1323E-08	1.1747E-07	1.6749E-08	6.2926E-07	9.0708E-05	1.2379E-04	5.7687E-07	6.1808E-07	4.813E-06	1.114E-06	1.844E-02	2.4914E-02
O  16	1.8097E-04	6.8035E-04	1.1345E-03	1.1799E-03	8.1675E-04	4.027E-04	4.4938E-05	8.6803E-05	1.4124E-04	2.8781E-04	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.1344E-01	4.4963E-01	7.7272E-01	1.3788E+00	2.1053E+00	2.791E+00	4.812E+00	8.382E+00	2.2637E+01	2.7872E+01	4.9523E+01	5.306E+01	4.423E+01	5.595E+01	4.431E+01	4.0223E+01
O  17	2.0418E-06	7.1365E-06	1.1867E-05	1.2276E-05	8.3635E-06	3.9411E-06	1.2851E-07	3.0052E-07	5.3046E-07	1.1641E-06	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.6812E-06	1.6944E-06	1.5681E-06	2.7915E-07	6.8299E-08	1.4892E-06	1.8829E-08	1.4216E-09	4.4355E-07	6.059E-07	3.6562E-05	3.9174E-05	4.546E-05	7.757E-07	1.503E-02	2.0306E-02
O  18	4.9576E-07	2.2866E-06	3.7985E-06	3.9214E-06	2.6553E-06	1.2288E-06	6.4682E-11	1.3197E-10	2.2031E-10	4.6013E-10	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	6.6569E-07	5.7921E-08	4.8937E-06	4.6303E-06	2.5246E-08	6.7454E-07	2.0647E-09	2.1284E-07	3.5035E-08	0E+00	2.3576E-07	2.526E-07	9.985E-03	1.054E-05	4.01E-04	5.3808E-04
F  19	2.1107E-07	9.7728E-07	1.6235E-06	1.6761E-06	1.135E-06	5.254E-07	2.6484E-10	5.9741E-10	1.0401E-09	2.256E-09	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.6106E-08	1.1701E-10	1.9716E-09	7.9096E-09	1.6245E-09	1.7101E-09	8.9387E-10	2.3819E-10	2.3685E-07	3.2374E-07	9.7515E-09	1.0448E-08	6.489E-07	9.477E-08	2.038E-06	2.7202E-06
